id,name,description,xrefs,parents
CL_0000037,hematopoietic stem cell,"A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119.",BTO:0000725|CALOHA:TS-0448|FMA:70337|FMA:86475|MESH:D006412|VHOG:0001485,CL:0000723|CL:0008001|CL:0011026|RO:0002202 some CL:0000566|RO:0002215 some GO:0002244|obo:cl#lacks_plasma_membrane_part some PR:000001002|obo:cl#lacks_plasma_membrane_part some PR:000001004|obo:cl#lacks_plasma_membrane_part some PR:000001012|obo:cl#lacks_plasma_membrane_part some PR:000001020|obo:cl#lacks_plasma_membrane_part some PR:000001024|obo:cl#lacks_plasma_membrane_part some PR:000001083|obo:cl#lacks_plasma_membrane_part some PR:000001084|obo:cl#lacks_plasma_membrane_part some PR:000001289|obo:cl#lacks_plasma_membrane_part some PR:000001839|obo:cl#lacks_plasma_membrane_part some PR:000001889|obo:cl#lacks_plasma_membrane_part some PR:000002978|obo:cl#lacks_plasma_membrane_part some PR:000002981
CL_0000038,erythroid progenitor cell,A progenitor cell committed to the erythroid lineage.,BTO:0004911,CL:0000764|CL:0000839|RO:0002202 some CL:0000050
CL_0000039,germ line cell,A cell that is within the developmental lineage of gametes and is able to pass along its genetic material to offspring.,,BFO:0000040|CL:0000003|RO:0002215 some GO:0022414
CL_0000040,monoblast,"A myeloid progenitor cell committed to the monocyte lineage. This cell is CD11b-positive, has basophilic cytoplasm, euchromatin, and the presence of a nucleolus.",CALOHA:TS-1195|FMA:83553,BFO:0000051 some CL:0017503|BFO:0000051 some GO:0000791|BFO:0000051 some GO:0005730|CARO:0000006|CL:0000763|CL:0002194|RO:0002104 some PR:000001012|RO:0002202 some CL:0002009
CL_0000041,mature eosinophil,"A fully differentiated eosinophil, a granular leukocyte with a nucleus that usually has two lobes connected by one or more slender threads, and cytoplasm containing coarse, round granules that are uniform in size and which can be stained by the dye eosin. Cells are also differentiated from other granulocytes by a small nuclear-to-cytoplasm ratio (1:3). This cell type is CD49d-positive.",,BFO:0000051 some (GO:0005634 and (RO:0000053 some PATO:0001979))|BFO:0000051 some PR:000007152|BFO:0000051 some PR:000007857|BFO:0000051 some PR:000007858|BFO:0000051 some PR:000014046|BFO:0000051 some PR:000014047|BFO:0000051 some PR:000022006|CL:0000145|CL:0000771|RO:0002104 some PR:000009129|RO:0002202 some CL:0000774|RO:0002215 some GO:0002495|RO:0002215 some GO:0002540|RO:0002215 some GO:0045730
CL_0000042,neutrophilic myeloblast,"A myeloblast committed to the neutrophil lineage. This cell type is GATA-1 positive, C/EBPa-positive, AML-1-positive, c-myb-positive and has low expression of PU.1 transcription factor.",,BFO:0000051 some PR:000001944|BFO:0000051 some PR:000005307|BFO:0000051 some PR:000007857|BFO:0000051 some PR:000010799|BFO:0000051 some PR:000014362|CL:0000834|CL:0000835|RO:0002202 some CL:0000834
CL_0000043,mature basophil,"A fully differentiated basophil, a granular leukocyte with an irregularly shaped, pale-staining nucleus that is partially constricted into two lobes, and with cytoplasm that contains coarse granules of variable size. Basophils contain vasoactive amines such as histamine and serotonin, which are released on appropriate stimulation.",BTO:0001026|CALOHA:TS-0688,BFO:0000051 some (GO:0005634 and (RO:0000053 some PATO:0001979))|CL:0000767|CL:0002274|RO:0002202 some CL:0000770|RO:0002215 some GO:0002349|RO:0002215 some GO:0002351|RO:0002215 some GO:0002830|RO:0002215 some GO:0032616|RO:0002215 some GO:0032633|RO:0002215 some GO:0048295
CL_0000044,,,,
CL_0000047,neural stem cell,An undifferentiated neural cell that originates from the neuroectoderm and has the capacity both to perpetually self-renew without differentiating and to generate multiple central nervous system neuronal and glial cell types.,BTO:0002881|CALOHA:TS-2360|FMA:86684,CARO:0000000|CL:0002319|RO:0002202 some CL:0000133
CL_0000048,multi fate stem cell,A stem cell that can give rise to multiple lineages of cells.,FMA:84789,CL:0000034|CL:0002371|RO:0000053 some PATO:0001402
CL_0000049,common myeloid progenitor,"A progenitor cell committed to myeloid lineage, including the megakaryocyte and erythroid lineages.",BTO:0004730,CL:0002032
CL_0000050,megakaryocyte-erythroid progenitor cell,A progenitor cell committed to the megakaryocyte and erythroid lineages.,,CL:0000763|CL:0002032|CL:0011026|RO:0002215 some GO:0030218|RO:0002215 some GO:0030219
CL_0000051,common lymphoid progenitor,A oligopotent progenitor cell committed to the lymphoid lineage.,,CL:0002032|CL:0011026|RO:0002215 some GO:0030098
CL_0000052,totipotent stem cell,A stem cell from which all cells of the body can form.,FMA:84790|MESH:D039901,CL:0000723
CL_0000053,,,,
CL_0000054,bone matrix secreting cell,,,CL:0000151
CL_0000055,non-terminally differentiated cell,A precursor cell with a limited number of potential fates.,BTO:0000125|FMA:84782,CL:0011115
CL_0000056,myoblast,"A cell that is commited to differentiating into a muscle cell.  Embryonic myoblasts develop from the mesoderm. They undergo proliferation, migrate to their various sites, and then differentiate into the appropriate form of myocytes.  Myoblasts also occur as transient populations of cells in muscles undergoing repair.",BTO:0000222|CALOHA:TS-0650|FBbt:00005083|FMA:70335|VHOG:0001529,CL:0000680
CL_0000057,fibroblast,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.,BTO:0000452|CALOHA:TS-0362|FMA:63877|VHOG:0001482,CARO:0000000|CL:0002320|RO:0002202 some CL:0000134
CL_0000058,chondroblast,"Skeletogenic cell that is typically non-terminally differentiated, secretes an avascular, GAG rich matrix; is not buried in cartilage tissue matrix, retains the ability to divide, located adjacent to cartilage tissue (including within the perichondrium), and develops from prechondroblast (and thus prechondrogenic) cell.",BTO:0003607|FMA:66783,CARO:0000000|CL:0000055|CL:0002320|RO:0002202 some CL:0007009|RO:0003000 some UBERON:0002418
CL_0000059,ameloblast,"Skeletogenic cell that produces enamel, overlies the odontogenic papilla, and arises from the differentiation of a preameloblast cell.",BTO:0001663|FMA:70576,BFO:0000050 some UBERON:0005176|CL:0000146|CL:0000151|CL:0002077|RO:0002202 some CL:0007000|RO:0002215 some GO:0097186|RO:0002220 some UBERON:0001763|RO:0003000 some UBERON:0001752
CL_0000060,odontoblast,"Skeletogenic cell that secretes dentine matrix, is derived from the odontogenic papilla, and develops from a preodontoblast cell.",BTO:0001769|CALOHA:TS-0696|FMA:62999|MESH:D009804,BFO:0000050 some UBERON:0005176|CL:0000055|CL:0000710|CL:0002159|CL:0011026|RO:0002202 some CL:0007003|RO:0003000 some UBERON:0001751
CL_0000061,cementoblast,"Skeletogenic cell that produces cementum (a bony substance that covers the root of a tooth), is part of the odontogenic papilla, and develops from a precementoblast cell.",CALOHA:TS-1164|FMA:63002,BFO:0000050 some UBERON:0005176|CL:0000062|CL:0000151|RO:0002202 some CL:0007002|RO:0003000 some UBERON:0001753
CL_0000062,osteoblast,"Skeletogenic cell that secretes osteoid, is capable of producing mineralized (hydroxyapatite) matrix, is located adjacent to or within osteoid tissue, and arises from the transformation of a preosteoblast cell.",BTO:0001593|CALOHA:TS-0720|FMA:66780,CL:0000055|CL:0002320|CL:0011026|RO:0002202 some CL:0007010|RO:0003000 some UBERON:0008883
CL_0000064,ciliated cell,A cell that has a filiform extrusion of the cell surface.,VHOG:0001532|XAO:0000031,BFO:0000051 some GO:0005929|CL:0000003
CL_0000065,ependymal cell,A neurectoderm derived cell that lines the neural lumen.,BTO:0001724|FMA:70550,CL:0000067|CL:0000710
CL_0000066,epithelial cell,A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina.,BTO:0000414|CALOHA:TS-2026|CARO:0000077|FBbt:00000124|FMA:66768|WBbt:0003672,BFO:0000004|BFO:0000050 some UBERON:0000483|CL:0000548
CL_0000067,ciliated epithelial cell,An epithelial cell that has a cilia.,FMA:70605,CL:0000064|CL:0000066
CL_0000068,duct epithelial cell,An epithelial cell that is part of a duct.,,BFO:0000050 some UBERON:0000058|CL:0000066|CL:0002371
CL_0000069,branched duct epithelial cell,,,CL:0000068
CL_0000071,blood vessel endothelial cell,An endothelial cell that lines the vasculature.,,BFO:0000050 some UBERON:0004638|CL:0000076|CL:0002139|RO:0002202 some CL:0002546
CL_0000072,non-branched duct epithelial cell,,,CL:0000068|CL:0002078
CL_0000073,barrier epithelial cell,,,CL:0000066|CL:0002371
CL_0000075,columnar/cuboidal epithelial cell,A columnar/cuboidal epithelial cell is a cell usually found in a two dimensional sheet with a free surface. Columnar/cuboidal epithelial cells take on the shape of a column or cube.,,CL:0000066|CL:0002371
CL_0000076,squamous epithelial cell,,CALOHA:TS-1249,CL:0000066
CL_0000077,mesothelial cell,A flattened epithelial cell of mesenchymal origin that lines the serous cavity.,FMA:66773,CL:0000076|CL:0000213|CL:0002078
CL_0000078,peridermal cell,,,CL:0000076|CL:0002371
CL_0000079,stratified epithelial cell,,,CARO:0000000|CL:0000066|CL:0002371|RO:0002202 some CL:0000357
CL_0000080,circulating cell,"A cell which moves among different tissues of the body, via blood, lymph, or other medium.",,BFO:0000004|BFO:0000050 some UBERON:0000179|CL:0000003
CL_0000081,blood cell,A cell found predominately in the blood.,FMA:62844|MESH:D001773,BFO:0000040|CL:0000988|RO:0002215 some GO:0008015
CL_0000082,epithelial cell of lung,An epithelial cell of the lung.,BTO:0004299,BFO:0000050 some UBERON:0000115|CL:0000066
CL_0000083,epithelial cell of pancreas,An epithelial cell of the pancreas.,BTO:0000028,BFO:0000050 some UBERON:0001264|CARO:0000000|CL:0000066|CL:0002371|RO:0002202 some CL:0000223
CL_0000084,T cell,A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.,BTO:0000782|CALOHA:TS-1001|FMA:62870|MESH:D013601|VHOG:0001479,CL:0000542|RO:0002202 some CL:0000827|RO:0002215 some GO:0002456
CL_0000085,germ line stem cell (sensu Vertebrata),,,CL:0000014|RO:0002160 some NCBITaxon:7742
CL_0000086,germ line stem cell (sensu Nematoda and Protostomia),,FBbt:00004861,CL:0000014
CL_0000087,male germ line stem cell (sensu Nematoda and Protostomia),,FBbt:00004929,CL:0000016|CL:0000086
CL_0000088,female germ line stem cell (sensu Nematoda and Protostomia),,,CL:0000022|CL:0000086
CL_0000089,male germ line stem cell (sensu Vertebrata),,,CL:0000016|CL:0000085
CL_0000090,female germ line stem cell (sensu Vertebrata),,,CL:0000022|CL:0000085
CL_0000091,Kupffer cell,"A tissue-resident macrophage of the reticuloendothelial system found on the luminal surface of the hepatic sinusoids involved in erythrocyte clearance. Markers include F4/80+, CD11b-low, CD68-positive, sialoadhesin-positive, CD163/SRCR-positive. Irregular, with long processes including lamellipodia extending into the sinusoid lumen, have flattened nucleus with cytoplasm containing characteristic invaginations of the plasma membrane (vermiform bodies); lie within the sinusoid lumen attached to the endothelial surface; derived from the bone marrow, form a major part of the body's mononuclear phagocyte system.",BTO:0000685|FMA:14656,CARO:0000006|CL:0000864|RO:0001025 some UBERON:0001281|RO:0002104 some PR:000001813|RO:0002104 some PR:000001925|RO:0002104 some PR:000002064|RO:0002215 some GO:0034102|RO:0015016 some PR:000001012
CL_0000092,osteoclast,"A specialized phagocytic cell associated with the absorption and removal of the mineralized matrix of bone tissue, which typically differentiates from monocytes. This cell has the following markers: tartrate-resistant acid phosphatase type 5-positive, PU.1-positive, c-fos-positive, nuclear factor NF-kappa-B p100 subunit-positive, tumor necrosis factor receptor superfamily member 11A-positive and macrophage colony-stimulating factor 1 receptor-positive.",BTO:0000968|CALOHA:TS-0721|FMA:66781|MESH:D010010,BFO:0000051 some PR:000001850|BFO:0000051 some PR:000001937|BFO:0000051 some PR:000001944|BFO:0000051 some PR:000007597|BFO:0000051 some PR:000011178|CARO:0000006|CL:0000766|CL:0001035|RO:0002104 some PR:000001954|RO:0002104 some PR:000002062|RO:0002202 some CL:0000576|RO:0002215 some GO:0045453
CL_0000094,granulocyte,A leukocyte with abundant granules in the cytoplasm.,BTO:0000539|BTO:0001026|CALOHA:TS-0422|FMA:62854,BFO:0000051 some GO:0030141|CARO:0000006|CL:0000081|CL:0000766|RO:0002104 some PR:000001012|RO:0002104 some PR:000001332|RO:0002104 some PR:000001969|obo:cl#lacks_plasma_membrane_part some PR:000001002|obo:cl#lacks_plasma_membrane_part some PR:000001020|obo:cl#lacks_plasma_membrane_part some PR:000001024|obo:cl#lacks_plasma_membrane_part some PR:000001084
CL_0000095,neuron associated cell,,,CARO:0000000|CL:0002319|RO:0002202 some CL:0000133
CL_0000096,mature neutrophil,"A fully differentiated neutrophil, a granular leukocyte having a nucleus with three to five lobes connected by slender threads, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes. They are produced in bone marrow at a rate of 5e10-10e10/day and have a half-life of 6-8 hours. Neutrophils are CD15-positive, CD16-positive, CD32-positive, CD43-positive, CD181-positive, and CD182-positive.",BTO:0003473,BFO:0000051 some (GO:0005634 and (RO:0000053 some PATO:0001979))|BFO:0000051 some CL:0017500|BFO:0000051 some GO:0070820|CL:0000234|CL:0000775|RO:0002104 some PR:000001256|RO:0002104 some PR:000001257|RO:0002104 some PR:000001456|RO:0002104 some PR:000001483|RO:0002104 some PR:000001944|RO:0002104 some PR:000007597|RO:0002215 some GO:0002536|RO:0002215 some GO:0002690|RO:0002215 some GO:0032637|obo:pr#lacks_part some PR:000009978|obo:pr#lacks_part some PR:000010543|obo:pr#lacks_part some PR:000010799
CL_0000097,mast cell,"A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development.",BTO:0000830|CALOHA:TS-0603|FMA:66784,BFO:0000051 some GO:0030141|CARO:0000006|CL:0000766|CL:0002274|RO:0002104 some PR:000001255|RO:0002104 some PR:000006169|RO:0002202 some CL:0000831|RO:0002215 some GO:0002349|RO:0002215 some GO:0002539|RO:0002215 some GO:0002660|RO:0002215 some GO:0002690|RO:0002215 some GO:0002830|RO:0002215 some GO:0030210|RO:0015015 some PR:000002065|RO:0015015 some PR:000007431|obo:cl#lacks_plasma_membrane_part some PR:000001865
CL_0000098,sensory epithelial cell,"A specialized epithelial cell involved in sensory perception. Restricted to special sense organs of the olfactory, gustatory, and vestibulocochlear receptor systems; contain sensory cells surrounded by supportive, non-receptive cells.",BTO:0004301,CL:0000066|CL:0000197|CL:0002371
CL_0000099,interneuron,Most generally any neuron which is not motor or sensory. Interneurons may also refer to neurons whose axons remain within a particular brain region as contrasted with projection neurons which have axons projecting to other brain regions.,BTO:0003811|FBbt:00005125|FMA:67313|WBbt:0005113,CL:0000540
CL_0000100,motor neuron,An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes or inhibits movement.,BTO:0000312|FBbt:00005123|FMA:83617|WBbt:0005409,CL:0000527
CL_0000101,sensory neuron,Any neuron having a sensory function; an afferent neuron conveying sensory impulses.,BTO:0001037|FBbt:00005124|FMA:84649|MESH:D011984|WBbt:0005759,CL:0000526|RO:0002215 some GO:0050906
CL_0000102,polymodal neuron,,,CL:0000540
CL_0000103,bipolar neuron,"A type of interneuron that has two neurites, usually an axon and a dendrite, extending from opposite poles of an ovoid cell body.",FMA:67282,CL:0000099|RO:0000053 some PATO:0070006
CL_0000104,multipolar neuron,"A neuron with three or more neurites, usually an axon and multiple dendrites.",FMA:67287,CL:0000540|RO:0000053 some PATO:0070026
CL_0000105,pseudounipolar neuron,Neuron with two neurites that are fused grossly when they protrude from the soma and bifurcate a short distance from the soma.,FMA:67305,CL:0000540
CL_0000106,unipolar neuron,Neuron with one neurite that extends from the cell body.,FMA:67278,CL:0000540
CL_0000107,autonomic neuron,A neuron whose cell body is within an autonomic ganglion.,FMA:80121,CARO:0000000|CL:2000032|RO:0002100 some UBERON:0002410
CL_0000108,cholinergic neuron,A neuron that uses acetylcholine as a vesicular neurotransmitter.,BTO:0004902|FMA:84796|MESH:D059329|WBbt:0006840,CL:0000151|CL:0000540|RO:0002215 some GO:0014055
CL_0000109,adrenergic neuron,,MESH:D059331,CL:0000540
CL_0000110,peptidergic neuron,,,CL:0000540|RO:0002215 some GO:0002790
CL_0000112,columnar neuron,,,CL:0000540
CL_0000113,mononuclear phagocyte,A vertebrate phagocyte with a single nucleus.,BTO:0001433,CL:0000226|CL:0000518
CL_0000114,surface ectodermal cell,,FMA:72552,CL:0000221
CL_0000115,endothelial cell,"An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm.",BTO:0001176|CALOHA:TS-0278|FMA:66772,CL:0000213|CL:0002078
CL_0000116,pioneer neuron,"Pioneer neurons establish a pathway in the developing central nervous system and then undergo programmed cell death once the adult axons, which follow them, have made connections with the target site. Thus, they are a transient cell type involved in axon guidance.",FBbt:00005128,CL:0000540
CL_0000117,CNS neuron (sensu Vertebrata),,,BFO:0000050 some UBERON:0001017|CARO:0000000|CL:0000540|RO:0002202 some CL:0000031
CL_0000118,basket cell,"Basket cells are inhibitory GABAergic interneurons of the brain. In general, dendrites of basket cells are free branching and contain smooth spines. Axons are highly branched. The branched axonal arborizations give rise to basket-like structures that surround the soma of the target cell. Basket cells form axo-somatic synapses, meaning their synapses target somas of other cells.",,CL:0000104|CL:0011005|RO:0000053 some PATO:0070002
CL_0000119,cerebellar Golgi cell,"Large intrinsic neuron located in the granule layer of the cerebellar cortex that extends its dendrites into the molecular layer where they receive contact from parallel fibers. The axon of the Golgi cell ramifies densely in the granule layer and enters into a complex arrangement with mossy fiber terminals and granule cell dendrites to form the cerebellar glomerulus. Llinas, Walton and Lang. In The Synaptic Organization of the Brain. 5th ed. 2004.",MESH:D000080906,CL:4023057
CL_0000120,granule cell,,BTO:0003393,CL:0000117
CL_0000121,Purkinje cell,The output neuron of the cerebellar cortex.,BTO:0001011|CALOHA:TS-0845|FMA:67969,CL:0000117|CL:0000527|CL:1001611|RO:0002100 some UBERON:0002129
CL_0000122,stellate neuron,A neuron that has dendritic processes radiating from the cell body forming a star-like shape.,BTO:0002316,CL:0000104|CL:0000117|RO:0000053 some PATO:0070010
CL_0000123,neuron associated cell (sensu Vertebrata),,,CL:0000095|RO:0002160 some NCBITaxon:7742|RO:0002202 some CL:0000333
CL_0000125,glial cell,"A non-neuronal cell of the nervous system. They not only provide physical support, but also respond to injury, regulate the ionic and chemical composition of the extracellular milieu. Guide neuronal migration during development, and exchange metabolites with neurons.",BTO:0002606|CALOHA:TS-0415|FBbt:00005144|FMA:54536,CL:0000095
CL_0000126,macroglial cell,"A neuroglial cell of ectodermal origin, i.e., the astrocytes and oligodendrocytes considered together.",BTO:0000771|CALOHA:TS-2027|FMA:54538,CL:0000125|RO:0002202 some CL:0000339
CL_0000127,astrocyte,"A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury.",BTO:0000099|CALOHA:TS-0060|FMA:54537,CL:0000126
CL_0000128,oligodendrocyte,A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.,BTO:0000962|CALOHA:TS-0709|FMA:54540,BFO:0000050 some UBERON:0001017|CL:0000126|CL:4023154|RO:0002202 some CL:0002453
CL_0000129,microglial cell,"A central nervous system macrophage found in the parenchyma of the central nervous system. Marker include CD11b-positive, F4/80-positive, and CD68-positive.",BTO:0000078|BTO:0000962|FMA:54539|FMA:54540,CARO:0000006|CL:0000125|CL:0000878|RO:0002104 some PR:000001012|RO:0002104 some PR:000001813|RO:0002104 some PR:000002064|RO:0002202 some (CL:0000034 and (BFO:0000050 some UBERON:0001040))|RO:0002202 some CL:0000222|RO:0002215 some GO:0045087
CL_0000130,neuron associated cell (sensu Nematoda and Protostomia),,,CL:0000095
CL_0000131,gut endothelial cell,,,CL:0000115|RO:0002202 some CL:0000223
CL_0000132,corneal endothelial cell,Cell of the single layer of large flattened cells covering the surface of the cornea.,CALOHA:TS-0172|FMA:70614,CL:0000076|CL:0000710|RO:0002202 some CL:0000008
CL_0000133,neurectodermal cell,Ectoderm destined to be nervous tissue.,,CL:0000221
CL_0000134,mesenchymal stem cell,"A connective tissue cell that normally gives rise to other cells that are organized as three-dimensional masses. In humans, this cell type is CD73-positive, CD90-positive, CD105-positive, CD45-negative, CD34-negative, and MHCII-negative. They may further differentiate into osteoblasts, adipocytes, myocytes, neurons, or chondroblasts in vitro. Originally described as residing in the bone marrow, this cell type is now known to reside in many, if not all, adult organs.",BTO:0002625|BTO:0003298|FMA:70546,CL:0000048|CL:0002320
CL_0000135,fibrocyte,"An inactive fibroblast; cytoplasm is sparse, endoplasmic reticulum is scanty with flattened nucleus. Term used by some histologists; when fibroblasts become relatively inactive in fiber formation. However, this cell has the potential for fibrogenesis in quiescent connective tissue of the adult, as well as during development, other histologists prefer to use the term fibroblast in all circumstances. These cells represent ~0.5% of peripheral blood leukocytes.",FMA:63879,BFO:0000040|CL:0000499|RO:0002202 some CL:0000057|RO:0002215 some GO:0002495|RO:0002215 some GO:0045766
CL_0000136,fat cell,A fat-storing cell found mostly in the abdominal cavity and subcutaneous tissue of mammals. Fat is usually stored in the form of triglycerides.,BTO:0000443|CALOHA:TS-0012|FMA:63880,CARO:0000000|CL:0000325|CL:0002320|RO:0002202 some CL:0000134
