id,name,description,xrefs
0000037,hematopoietic stem cell,"A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119.",BTO:0000725|CALOHA:TS-0448|FMA:70337|FMA:86475|MESH:D006412|VHOG:0001485
0000038,erythroid progenitor cell,A progenitor cell committed to the erythroid lineage.,BTO:0004911
0000039,germ line cell,A cell that is within the developmental lineage of gametes and is able to pass along its genetic material to offspring.,
0000040,monoblast,"A myeloid progenitor cell committed to the monocyte lineage. This cell is CD11b-positive, has basophilic cytoplasm, euchromatin, and the presence of a nucleolus.",CALOHA:TS-1195|FMA:83553
0000041,mature eosinophil,"A fully differentiated eosinophil, a granular leukocyte with a nucleus that usually has two lobes connected by one or more slender threads, and cytoplasm containing coarse, round granules that are uniform in size and which can be stained by the dye eosin. Cells are also differentiated from other granulocytes by a small nuclear-to-cytoplasm ratio (1:3). This cell type is CD49d-positive.",
0000042,neutrophilic myeloblast,"A myeloblast committed to the neutrophil lineage. This cell type is GATA-1 positive, C/EBPa-positive, AML-1-positive, c-myb-positive and has low expression of PU.1 transcription factor.",
0000043,mature basophil,"A fully differentiated basophil, a granular leukocyte with an irregularly shaped, pale-staining nucleus that is partially constricted into two lobes, and with cytoplasm that contains coarse granules of variable size. Basophils contain vasoactive amines such as histamine and serotonin, which are released on appropriate stimulation.",BTO:0001026|CALOHA:TS-0688
0000047,neural stem cell,An undifferentiated neural cell that originates from the neuroectoderm and has the capacity both to perpetually self-renew without differentiating and to generate multiple central nervous system neuronal and glial cell types.,BTO:0002881|CALOHA:TS-2360|FMA:86684
0000048,multi fate stem cell,A stem cell that can give rise to multiple lineages of cells.,FMA:84789
0000049,common myeloid progenitor,"A progenitor cell committed to myeloid lineage, including the megakaryocyte and erythroid lineages.",BTO:0004730
0000050,megakaryocyte-erythroid progenitor cell,A progenitor cell committed to the megakaryocyte and erythroid lineages.,
0000051,common lymphoid progenitor,A oligopotent progenitor cell committed to the lymphoid lineage.,
0000052,totipotent stem cell,A stem cell from which all cells of the body can form.,FMA:84790|MESH:D039901
0000055,non-terminally differentiated cell,A precursor cell with a limited number of potential fates.,BTO:0000125|FMA:84782
0000056,myoblast,"A cell that is commited to differentiating into a muscle cell.  Embryonic myoblasts develop from the mesoderm. They undergo proliferation, migrate to their various sites, and then differentiate into the appropriate form of myocytes.  Myoblasts also occur as transient populations of cells in muscles undergoing repair.",BTO:0000222|CALOHA:TS-0650|FBbt:00005083|FMA:70335|VHOG:0001529
0000057,fibroblast,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.,BTO:0000452|CALOHA:TS-0362|FMA:63877|VHOG:0001482
0000058,chondroblast,"Skeletogenic cell that is typically non-terminally differentiated, secretes an avascular, GAG rich matrix; is not buried in cartilage tissue matrix, retains the ability to divide, located adjacent to cartilage tissue (including within the perichondrium), and develops from prechondroblast (and thus prechondrogenic) cell.",BTO:0003607|FMA:66783
0000059,ameloblast,"Skeletogenic cell that produces enamel, overlies the odontogenic papilla, and arises from the differentiation of a preameloblast cell.",BTO:0001663|FMA:70576
0000060,odontoblast,"Skeletogenic cell that secretes dentine matrix, is derived from the odontogenic papilla, and develops from a preodontoblast cell.",BTO:0001769|CALOHA:TS-0696|FMA:62999|MESH:D009804
0000061,cementoblast,"Skeletogenic cell that produces cementum (a bony substance that covers the root of a tooth), is part of the odontogenic papilla, and develops from a precementoblast cell.",CALOHA:TS-1164|FMA:63002
0000062,osteoblast,"Skeletogenic cell that secretes osteoid, is capable of producing mineralized (hydroxyapatite) matrix, is located adjacent to or within osteoid tissue, and arises from the transformation of a preosteoblast cell.",BTO:0001593|CALOHA:TS-0720|FMA:66780
0000064,ciliated cell,A cell that has a filiform extrusion of the cell surface.,VHOG:0001532|XAO:0000031
0000065,ependymal cell,A neurectoderm derived cell that lines the neural lumen.,BTO:0001724|FMA:70550
0000066,epithelial cell,A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina.,BTO:0000414|CALOHA:TS-2026|CARO:0000077|FBbt:00000124|FMA:66768|WBbt:0003672
0000067,ciliated epithelial cell,An epithelial cell that has a cilia.,FMA:70605
0000068,duct epithelial cell,An epithelial cell that is part of a duct.,
0000071,blood vessel endothelial cell,An endothelial cell that lines the vasculature.,
0000075,columnar/cuboidal epithelial cell,A columnar/cuboidal epithelial cell is a cell usually found in a two dimensional sheet with a free surface. Columnar/cuboidal epithelial cells take on the shape of a column or cube.,
0000077,mesothelial cell,A flattened epithelial cell of mesenchymal origin that lines the serous cavity.,FMA:66773
0000080,circulating cell,"A cell which moves among different tissues of the body, via blood, lymph, or other medium.",
0000081,blood cell,A cell found predominately in the blood.,FMA:62844|MESH:D001773
0000082,epithelial cell of lung,An epithelial cell of the lung.,BTO:0004299
0000083,epithelial cell of pancreas,An epithelial cell of the pancreas.,BTO:0000028
0000084,T cell,A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.,BTO:0000782|CALOHA:TS-1001|FMA:62870|MESH:D013601|VHOG:0001479
0000091,Kupffer cell,"A tissue-resident macrophage of the reticuloendothelial system found on the luminal surface of the hepatic sinusoids involved in erythrocyte clearance. Markers include F4/80+, CD11b-low, CD68-positive, sialoadhesin-positive, CD163/SRCR-positive. Irregular, with long processes including lamellipodia extending into the sinusoid lumen, have flattened nucleus with cytoplasm containing characteristic invaginations of the plasma membrane (vermiform bodies); lie within the sinusoid lumen attached to the endothelial surface; derived from the bone marrow, form a major part of the body's mononuclear phagocyte system.",BTO:0000685|FMA:14656
0000092,osteoclast,"A specialized phagocytic cell associated with the absorption and removal of the mineralized matrix of bone tissue, which typically differentiates from monocytes. This cell has the following markers: tartrate-resistant acid phosphatase type 5-positive, PU.1-positive, c-fos-positive, nuclear factor NF-kappa-B p100 subunit-positive, tumor necrosis factor receptor superfamily member 11A-positive and macrophage colony-stimulating factor 1 receptor-positive.",BTO:0000968|CALOHA:TS-0721|FMA:66781|MESH:D010010
0000094,granulocyte,A leukocyte with abundant granules in the cytoplasm.,BTO:0000539|BTO:0001026|CALOHA:TS-0422|FMA:62854
0000096,mature neutrophil,"A fully differentiated neutrophil, a granular leukocyte having a nucleus with three to five lobes connected by slender threads, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes. They are produced in bone marrow at a rate of 5e10-10e10/day and have a half-life of 6-8 hours. Neutrophils are CD15-positive, CD16-positive, CD32-positive, CD43-positive, CD181-positive, and CD182-positive.",BTO:0003473
0000097,mast cell,"A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development.",BTO:0000830|CALOHA:TS-0603|FMA:66784
0000098,sensory epithelial cell,"A specialized epithelial cell involved in sensory perception. Restricted to special sense organs of the olfactory, gustatory, and vestibulocochlear receptor systems; contain sensory cells surrounded by supportive, non-receptive cells.",BTO:0004301
0000099,interneuron,Most generally any neuron which is not motor or sensory. Interneurons may also refer to neurons whose axons remain within a particular brain region as contrasted with projection neurons which have axons projecting to other brain regions.,BTO:0003811|FBbt:00005125|FMA:67313|WBbt:0005113
0000100,motor neuron,An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes or inhibits movement.,BTO:0000312|FBbt:00005123|FMA:83617|WBbt:0005409
0000101,sensory neuron,Any neuron having a sensory function; an afferent neuron conveying sensory impulses.,BTO:0001037|FBbt:00005124|FMA:84649|MESH:D011984|WBbt:0005759
0000103,bipolar neuron,"A type of interneuron that has two neurites, usually an axon and a dendrite, extending from opposite poles of an ovoid cell body.",FMA:67282
0000104,multipolar neuron,"A neuron with three or more neurites, usually an axon and multiple dendrites.",FMA:67287
0000105,pseudounipolar neuron,Neuron with two neurites that are fused grossly when they protrude from the soma and bifurcate a short distance from the soma.,FMA:67305
0000106,unipolar neuron,Neuron with one neurite that extends from the cell body.,FMA:67278
0000107,autonomic neuron,A neuron whose cell body is within an autonomic ganglion.,FMA:80121
0000108,cholinergic neuron,A neuron that uses acetylcholine as a vesicular neurotransmitter.,BTO:0004902|FMA:84796|MESH:D059329|WBbt:0006840
0000113,mononuclear phagocyte,A vertebrate phagocyte with a single nucleus.,BTO:0001433
0000115,endothelial cell,"An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm.",BTO:0001176|CALOHA:TS-0278|FMA:66772
0000116,pioneer neuron,"Pioneer neurons establish a pathway in the developing central nervous system and then undergo programmed cell death once the adult axons, which follow them, have made connections with the target site. Thus, they are a transient cell type involved in axon guidance.",FBbt:00005128
0000118,basket cell,"Basket cells are inhibitory GABAergic interneurons of the brain. In general, dendrites of basket cells are free branching and contain smooth spines. Axons are highly branched. The branched axonal arborizations give rise to basket-like structures that surround the soma of the target cell. Basket cells form axo-somatic synapses, meaning their synapses target somas of other cells.",
0000119,cerebellar Golgi cell,"Large intrinsic neuron located in the granule layer of the cerebellar cortex that extends its dendrites into the molecular layer where they receive contact from parallel fibers. The axon of the Golgi cell ramifies densely in the granule layer and enters into a complex arrangement with mossy fiber terminals and granule cell dendrites to form the cerebellar glomerulus. Llinas, Walton and Lang. In The Synaptic Organization of the Brain. 5th ed. 2004.",MESH:D000080906
0000121,Purkinje cell,The output neuron of the cerebellar cortex.,BTO:0001011|CALOHA:TS-0845|FMA:67969
0000122,stellate neuron,A neuron that has dendritic processes radiating from the cell body forming a star-like shape.,BTO:0002316
0000125,glial cell,"A non-neuronal cell of the nervous system. They not only provide physical support, but also respond to injury, regulate the ionic and chemical composition of the extracellular milieu. Guide neuronal migration during development, and exchange metabolites with neurons.",BTO:0002606|CALOHA:TS-0415|FBbt:00005144|FMA:54536
0000126,macroglial cell,"A neuroglial cell of ectodermal origin, i.e., the astrocytes and oligodendrocytes considered together.",BTO:0000771|CALOHA:TS-2027|FMA:54538
0000127,astrocyte,"A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury.",BTO:0000099|CALOHA:TS-0060|FMA:54537
0000128,oligodendrocyte,A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.,BTO:0000962|CALOHA:TS-0709|FMA:54540
0000129,microglial cell,"A central nervous system macrophage found in the parenchyma of the central nervous system. Marker include CD11b-positive, F4/80-positive, and CD68-positive.",BTO:0000078|BTO:0000962|FMA:54539|FMA:54540
0000132,corneal endothelial cell,Cell of the single layer of large flattened cells covering the surface of the cornea.,CALOHA:TS-0172|FMA:70614
0000133,neurectodermal cell,Ectoderm destined to be nervous tissue.,
0000134,mesenchymal stem cell,"A connective tissue cell that normally gives rise to other cells that are organized as three-dimensional masses. In humans, this cell type is CD73-positive, CD90-positive, CD105-positive, CD45-negative, CD34-negative, and MHCII-negative. They may further differentiate into osteoblasts, adipocytes, myocytes, neurons, or chondroblasts in vitro. Originally described as residing in the bone marrow, this cell type is now known to reside in many, if not all, adult organs.",BTO:0002625|BTO:0003298|FMA:70546
0000135,fibrocyte,"An inactive fibroblast; cytoplasm is sparse, endoplasmic reticulum is scanty with flattened nucleus. Term used by some histologists; when fibroblasts become relatively inactive in fiber formation. However, this cell has the potential for fibrogenesis in quiescent connective tissue of the adult, as well as during development, other histologists prefer to use the term fibroblast in all circumstances. These cells represent ~0.5% of peripheral blood leukocytes.",FMA:63879
0000136,fat cell,A fat-storing cell found mostly in the abdominal cavity and subcutaneous tissue of mammals. Fat is usually stored in the form of triglycerides.,BTO:0000443|CALOHA:TS-0012|FMA:63880
0000137,osteocyte,"A mature osteoblast that has become embedded in the bone matrix. They occupy a small cavity, called lacuna, in the matrix and are connected to adjacent osteocytes via protoplasmic projections called canaliculi.",BTO:0002038|CALOHA:TS-1167|FMA:66779|VSAO:0000124
0000138,chondrocyte,"Skeletogenic cell that is terminally differentiated, secretes an avascular, GAG-rich matrix, is embedded in cartilage tissue matrix, retains the ability to divide, and develops from a chondroblast cell.",BTO:0000249|CALOHA:TS-0138|FMA:66782
0000140,odontocyte,"Skeletogenic cell that secretes dentine matrix, is derived from odontogenic papilla. Embedded in dentine tissue, and is the transformation of a non-terminally differentiated odontoblast cell.",
0000141,cementocyte,"An osteocytelike cell with numerous processes, trapped in a lacuna in the cement of the tooth.",FMA:63003
0000142,hyalocyte,A cell occurring in the peripheral part of the vitreous body of the eye that may be responsible for production of hyaluronic acid and collagen.,BTO:0004271|FMA:70620
0000145,professional antigen presenting cell,A cell capable of processing and presenting lipid and protein antigens to T cells in order to initiate an immune response.,
0000147,pigment cell,A pigment cell is a cell that contains pigment granules.,VHOG:0001678
0000148,melanocyte,"A pigment cell derived from the neural crest. Contains melanin-filled pigment granules, which gives a brown to black appearance.",BTO:0000847|CALOHA:TS-0613|FMA:70545|MESH:D008544|VHOG:0001679
0000150,glandular epithelial cell,A specialized epithelial cell that is capable of synthesizing and secreting certain biomolecules.,CALOHA:TS-2085|FMA:86494
0000151,secretory cell,A cell that specializes in controlled release of one or more substances.,BTO:0003659|FMA:86916
0000152,exocrine cell,A cell of an exocrine gland; i.e. a gland that discharges its secretion via a duct.,FMA:16014
0000153,glycosaminoglycan secreting cell,A cell that secretes glycosaminoglycans.,
0000155,peptic cell,"A cell that is usually basal in position, cuboidal with round nucleus, short microvilli, secretes pepsinogen.",FMA:62902
0000157,surfactant secreting cell,A cell that specializes in secretion of surfactant in the alveoli of the lung.,
0000158,club cell,Epithelial progenitor cell of the lung. Club cells are dome-shaped with short microvilli but no cilia. They function to protect the bronchiolar epithelium. Club cells also multiply and differentiate into ciliated cells to regenerate the bronchiolar epithelium.,BTO:0004811|FMA:14119
0000160,goblet cell,A cell of the epithelial lining that produce and secrete mucins.,BTO:0001540|FMA:13148|http://en.wikipedia.org/wiki/Goblet_cell
0000162,parietal cell,"A large, oval stomach epithelial cell with a central nucleus; source of gastric acid. Secretes HCl.",BTO:0001780|FMA:62901
0000163,endocrine cell,"A cell of an endocrine gland, ductless glands that secrete substances which are released directly into the circulation and which influence metabolism and other body functions.",FMA:83809
0000164,enteroendocrine cell,An endocrine cell that is located in the epithelium of the gastrointestinal tract or in the pancreas.,BTO:0003865|FMA:62930|MESH:D019858
0000165,neuroendocrine cell,An endocrine cell that has the specialized function to produce and secrete hormones in response to neuronal signals.,BTO:0002691|FMA:83810
0000166,chromaffin cell,"A cell that stores epinephrine secretory vesicles. During times of stress, the nervous system signals the vesicles to secrete their hormonal content. Their name derives from their ability to stain a brownish color with chromic salts. Characteristically, they are located in the adrenal medulla and paraganglia of the sympathetic nervous system.",BTO:0000259|FMA:69263
0000169,type B pancreatic cell,A cell that secretes insulin and is located towards the center of the islets of Langerhans.,BTO:0000783|EV:0200009|FMA:70586|MA:0002419|ncithesaurus:Beta_Cell
0000170,glucagon secreting cell,A cell that secretes glucagon.,FMA:84045
0000171,pancreatic A cell,A type of enteocrine cell found in the periphery of the islets of Langerhans that secretes glucagon.,BTO:0000990|FMA:70585|MESH:D050416
0000173,pancreatic D cell,A D cell located in the pancreas. Peripherally placed within the islets like type A cells; contains somatostatin.,BTO:0000803|FMA:70587
0000175,luteal cell,A progesterone secreting cell in the corpus luteum. The large luteal cells develop from the granulosa cells. The small luteal cells develop from the theca cells.,BTO:0003939|FMA:18688
0000178,Leydig cell,"A Leydig cell is a testosterone-secreting cell in the interstitial area, between the seminiferous tubules, in the testis.",BTO:0000755|CALOHA:TS-1150|EMAPA:29655|FMA:72297|MESH:D007985
0000180,estradiol secreting cell,A steroid hormone secreting cell that secretes estradiol.,
0000182,hepatocyte,"The main structural component of the liver. They are specialized epithelial cells that are organized into interconnected plates called lobules. Majority of cell population of liver, polygonal in shape, arranged in plates or trabeculae between sinusoids; may have single nucleus or binucleated.",BTO:0000575|CALOHA:TS-0454|FMA:14515
0000183,contractile cell,A cell whose primary function is to shorten.,
0000185,myoepithelial cell,"Contractile cells resembling smooth muscle cells that are present in glands, notably the mammary gland, and aid in secretion. This cell has long weaving dendritic processes containing myofilament.",BTO:0002309|CALOHA:TS-2379|FMA:67799
0000186,myofibroblast cell,An animal cell that has characteristics of both a fibroblast cell and a smooth muscle cell.,
0000187,muscle cell,"A mature contractile cell, commonly known as a myocyte. This cell has as part of its cytoplasm myofibrils organized in various patterns.",BTO:0000888|BTO:0000902|CALOHA:TS-2032|FBbt:00005074|FMA:67328|WBbt:0003675
0000188,cell of skeletal muscle,A somatic cell located in skeletal muscle.,BTO:0004392|CALOHA:TS-2158|FMA:9727
0000189,slow muscle cell,A muscle cell that develops tension more slowly than a fast-twitch fiber.,FMA:84448
0000190,fast muscle cell,A muscle cell that can develop high tension rapidly. It is usually innervated by a single alpha neuron.,
0000192,smooth muscle cell,"A non-striated, elongated, spindle-shaped cell found lining the digestive tract, uterus, and blood vessels. They develop from specialized myoblasts (smooth muscle myoblast).",BTO:0004576|CALOHA:TS-2159|FMA:14072
0000193,cardiac muscle cell (sensu Arthopoda),A striated muscle cell of an arthropod heart that participates in heart contraction.,
0000197,sensory receptor cell,A cell that is capable of detection of a stimulus involved in sensory perception.,MESH:D011984
0000198,pain receptor cell,"The peripheral receptor for pain. Includes receptors which are sensitive to painful mechanical stimuli, extreme heat or cold, and chemical stimuli. All mammalian nociceptors are free nerve endings.",
0000199,mechanoreceptor cell,A cell specialized to transduce mechanical stimuli and relay that information centrally in the nervous system.,
0000202,auditory hair cell,A mechanoreceptor cell of the auditory or vestibular system that is sensitive to auditory stimuli. The accessory sensory structures are arranged so that appropriate stimuli cause movement of the hair-like projections (stereocilia and kinocilia) which relay the information centrally in the nervous system.,FMA:62364
0000205,thermoreceptor cell,A cellular receptor which mediates the sense of temperature. Thermoreceptor cells in vertebrates are mostly located under the skin. In mammals there are separate types of thermoreceptors for cold and for warmth and pain receptor cells which detect cold or heat extreme enough to cause pain.,
0000206,chemoreceptor cell,"A cell specialized to detect chemical substances and relay that information centrally in the nervous system. Chemoreceptors may monitor external stimuli, as in taste and olfaction, or internal stimuli, such as the concentrations of oxygen and carbon dioxide in the blood.",
0000209,taste receptor cell,A cell type found in the spherical or ovoid clusters of receptor cells found mainly in the epithelium of the tongue and constituting the end organs of the sense of taste.,FMA:67910
0000210,photoreceptor cell,A cell specialized to detect and transduce light.,BTO:0001060|CALOHA:TS-0868|FMA:86740
0000211,electrically active cell,A cell whose function is determined by the generation or the reception of an electric signal.,
0000212,absorptive cell,A cell that takes up and metabolizes substances.,
0000213,lining cell,A cell within an epithelial cell sheet whose main function is to act as an internal or external covering for a tissue or an organism.,
0000214,synovial cell,A cell located in the synovial joint.,CALOHA:TS-0995
0000215,barrier cell,A cell whose primary function is to prevent the transport of stuff across compartments.,
0000216,Sertoli cell,A supporting cell projecting inward from the basement membrane of seminiferous tubules. They surround and nourish the developing male germ cells and secrete androgen binding protein. Their tight junctions with the spermatogonia and spermatocytes provide a blood-testis barrier.,BTO:0001238|CALOHA:TS-0922|FMA:72298|VHOG:0001348
0000218,myelinating Schwann cell,A neuroglial cell of the peripheral nervous system which forms the insulating myelin sheaths of peripheral axons.,CALOHA:TS-0898|FMA:62121
0000219,motile cell,A cell that moves by its own activities.,
0000221,ectodermal cell,A cell of the outer of the three germ layers of the embryo.,FMA:72549
0000222,mesodermal cell,A cell of the middle germ layer of the embryo.,FMA:72554
0000223,endodermal cell,A cell of the inner of the three germ layers of the embryo.,FMA:72555
0000225,anucleate cell,A cell that lacks a nucleus.,FMA:68647
0000226,single nucleate cell,A cell with a single nucleus.,
0000228,multinucleate cell,A cell with more than one nucleus.,AEO:0000203|WBbt:0008074
0000232,erythrocyte,"A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen.",BTO:0000424|CALOHA:TS-0290|FMA:81100
0000233,platelet,"A non-nucleated disk-shaped cell formed by extrusion from megakaryocytes, found in the blood of all mammals, and mainly involved in blood coagulation.",BTO:0000132|CALOHA:TS-0803|FMA:62851
0000234,phagocyte,Any cell capable of ingesting particulate matter via phagocytosis.,BTO:0001044|FMA:83806|MESH:D010586
0000235,macrophage,"A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.",BTO:0000801|CALOHA:TS-0587|FMA:63261|FMA:83585|MESH:D008264
0000236,B cell,A lymphocyte of B lineage that is capable of B cell mediated immunity.,BTO:0000776|CALOHA:TS-0068|FMA:62869|MESH:D001402|VHOG:0001480
0000242,Merkel cell,A modified epidermal cell located in the stratum basale. They are found mostly in areas where sensory perception is acute. Merkel cells are closely associated with an expanded terminal bulb of an afferent myelinated nerve fiber.,FMA:70548
0000244,transitional epithelial cell,A cell characteristically found lining hollow organs that are subject to great mechanical change due to contraction and distention; originally thought to represent a transition between stratified squamous and columnar epithelium.,FMA:66778
0000247,Rohon-Beard neuron,"Type of neuron that is a primary mechanosensory cell, with peripheral neurites innervating the skin with free nerve endings.",AAO:0010316|EFO:0003711|VHOG:0001484|ZFA:0009150
0000286,hyphal cell,A cell of a filament of a fungal mycelium.,
0000293,structural cell,"A cell whose primary function is to provide structural support, to provide strength and physical integrity to the organism.",
0000295,somatotropin secreting cell,"A peptide hormone secreting cell that produces growth hormone, somatotropin.",
0000300,gamete,A mature sexual reproductive cell having a single set of unpaired chromosomes.,CALOHA:TS-0395|FBbt:00005412|FMA:18649
0000307,tracheal epithelial cell,An epithelial cell found in the trachea.,FBbt:00005038|FMA:74793
0000312,keratinocyte,"An epidermal cell which synthesizes keratin and undergoes a characteristic change as it moves upward from the basal layers of the epidermis to the cornified (horny) layer of the skin. Successive stages of differentiation of the keratinocytes forming the epidermal layers are basal cell, spinous or prickle cell, and the granular cell.",BTO:0000667|CALOHA:TS-0500|FMA:62879
0000313,serous secreting cell,"Columnar glandular cell with irregular nucleus, copious granular endoplasmic reticulum and supranuclear granules. Secretes a watery fluid containing proteins known as serous fluid.",BTO:0003687|FMA:62511
0000315,tear secreting cell,"A cell secreting tears, the fluid secreted by the lacrimal glands. This fluid moistens the conjunctiva and cornea.",
0000317,sebum secreting cell,"A cell secreting sebun, an oily substance secreted by sebaceous glands, composed of keratin, fat, and cellular debris.",
0000318,sweat secreting cell,"A cell secreting sweat, the fluid excreted by the sweat glands of mammals. It consists of water containing sodium chloride, phosphate, urea, ammonia, and other waste products.",
0000322,pneumocyte,An epithelial cell that lines the peripheral gas exchange region of the lungs of air-breathing vertebrates.,BTO:0000395|CALOHA:TS-2168|FMA:62499
0000325,stuff accumulating cell,A cell that is specialised to accumulate a particular substance(s).,
0000333,migratory neural crest cell,"A cell derived from the specialized ectoderm flanking each side of the embryonic neural plate, which after the closure of the neural tube, forms masses of cells that migrate out from the dorsal aspect of the neural tube to spread throughout the body.",FMA:86667
0000335,mesenchyme condensation cell,A mesenchymal cell in embryonic development found in a contracting mass and that gives rise to osteoprogenitors.,
0000336,adrenal medulla chromaffin cell,A cell found within the adrenal medulla that secrete biogenic amine hormones upon stimulation.,FMA:69262
0000339,glioblast (sensu Vertebrata),An early neural cell developing from the early ependymal cell of the neural tube.,FMA:70564
0000342,pigment cell (sensu Vertebrata),Any animal cell containing pigment granules.,
