id,name,description,xrefs
CL_0000474,pericardial nephrocyte,An insect renal cell that filters hemolymph and is found with other pericardial nephrocytes in two rows flanking the dorsal vessel.,FBbt:00005058
CL_0000478,oxytocin stimulating hormone secreting cell,A peptide hormone secreting cell that secretes oxytocin stimulating hormone,
CL_0000479,vasopressin stimulating hormone secreting cell,A peptide hormone secreting cell that secretes vasopressin stimulating hormone,
CL_0000480,secretin stimulating hormone secreting cell,A peptide hormone secreting cell that secretes secretin stimulating hormone,
CL_0000481,cholecystokin stimulating hormone secreting cell,A peptide hormone secreting cell that secretes cholecystokin stimulating hormone.,
CL_0000482,juvenile hormone secreting cell,An endocrine cell that secretes juvenile hormone.,
CL_0000483,bombesin stimulating hormone secreting cell,A peptide hormone secreting cell that secretes bombesin stimulating hormone.,
CL_0000488,visible light photoreceptor cell,A photoreceptor cell that detects visible light.,
CL_0000494,UV sensitive photoreceptor cell,A photoreceptor cell that detects ultraviolet light.,
CL_0000495,blue sensitive photoreceptor cell,A photoreceptor cell that is sensitive to blue light.,
CL_0000496,green sensitive photoreceptor cell,A photoreceptor cell that is sensitive to green light.,
CL_0000497,red sensitive photoreceptor cell,A photoreceptor cell that is sensitive to red light.,
CL_0000500,follicular epithelial cell,An epithelial somatic cell associated with a maturing oocyte.,
CL_0000507,endorphin secreting cell,A peptide hormone secreting cell that secretes endorphin.,
CL_0000511,androgen binding protein secreting cell,A peptide hormone secreting cell that secretes androgen binding protein.,
CL_0000513,cardiac muscle myoblast,A precursor cell destined to differentiate into cardiac muscle cell.,FMA:84797
CL_0000518,phagocyte (sensu Vertebrata),A phagocyte in vertebrates that is able to phagocytosis.,
CL_0000519,phagocyte (sensu Nematoda and Protostomia),A phagocyte from organisms in the Nematoda or Protostomia clades.,
CL_0000562,nucleate erythrocyte,An erythrocyte having a nucleus.,
CL_0000565,fat body cell,A cell found in fat bodies whose primary function is intermediary metabolism.,
CL_0000566,angioblastic mesenchymal cell,A mesenchymal stem cell capable of developing into blood vessel endothelium.,
CL_0000569,cardiac mesenchymal cell,"A mesenchymal cell found in the developing heart and that develops into some part of the heart.  These cells derive from intra- and extra-cardiac sources, including the endocardium, epicardium, neural crest, and second heart field.",
CL_0000578,experimentally modified cell in vitro,A cell in vitro that has undergone physical changes as a consequence of a deliberate and specific experimental procedure.,
CL_0000587,cold sensing thermoreceptor cell,A thermoreceptor cell that detects reduced temperatures.,
CL_0000593,androgen secreting cell,A steroid hormone secreting cell that secretes androgen.,
CL_0000597,microconidium,"The smaller of two types of asexual spores formed by some fungi. An ovoid to pear-shaped asexual spore that contains very little cytoplasm and organelles, is uninucleate, and forms in vegetative hypae within a mycelium. Micronidia are extruded from the hyphal cell wall.",FAO:0000028
CL_0000606,macroconidium,The larger of two types of asexual spores formed by some fungi; usually round or oblong.,FAO:0000038
CL_0000626,olfactory granule cell,Granule cell that is part of the olfactory bulb.,
CL_0000627,transporting cell,"A cell involved in transporting nutrients, minerals, water, gases and other chemicals between cells for a variety of purposes including conveying nutrition to other tissues, removing waste products from the tissues, conveying gases for respiration, distributing heat and repelling invasion of foreign substances.",
CL_0000628,photosynthetic cell,"A cell that can perform photosynthesis, in which carbohydrates are synthesized from carbon dioxide and water, using light as the energy source.",
CL_0000629,storage cell,"A cell that is specialized to store a particular substance(s), which is(are) later released from the store for a particular purpose.",
CL_0000658,cuticle secreting cell,An epithelial cell that secretes cuticle.,
CL_0000659,eggshell secreting cell,An extracellular matrix secreting cell that secretes eggshell.,
CL_0000660,glycocalyx secreting cell,An extracellular matrix secreting cell that secretes glycocalyx.,
CL_0000667,collagen secreting cell,An extracellular matrix secreting cell that secretes collagen.,
CL_0000675,female gamete,A mature sexual reproductive cell of the female germline.,
CL_0000677,gut absorptive cell,"Cell of the intestinal epithelium with a brush border made up of many parallel packed microvilli; associated with absorption, particularly of macromolecules.",
CL_0000686,cerebrospinal fluid secreting cell,A columnar/cuboidal epithelial cell that secretes cerebrospinal fluid.,
CL_0000688,perijunctional fibroblast,A fibroblast-like cell that provides support at neuromuscular junctions in vertebrates and are localized outside the synaptic basal lamina.,
CL_0000689,myoendocrine cell,A cell with both myofibrils and secretory granules.,
CL_0000692,terminal Schwann cell,A neuroglial cell of the peripheral nervous system inside the basal lamina of the neuromuscular junction providing chemical and physical support to the synapse.,
CL_0000699,paraganglial type 1 cell,"A type of glomus or chief cell, is sensitive to hypoxia and produce catecholamines.",
CL_0000701,paraganglia type 2 cell,Supports paraganglial type 1 cell.,
CL_0000704,endothelial tip cell,A specialized endothelial cell that senses extracellular signals and guides the directed growth of blood vessels.,
CL_0000730,leading edge cell,A cell at the front of a migrating epithelial sheet.,
CL_0000742,periarticular chondrocyte,A round chondrocyte that first differentiates in the late embryonic growth plate of bone.,
CL_0000744,columnar chondrocyte,A columnar chondrocyte that differentiates in the late embryonic growth plate of bone. Columnar chondrocytes vigorously proliferate and form columns in the growth plate.,
CL_0000752,cone retinal bipolar cell,A bipolar neuron found in the retina and having connections with cone photoreceptor cells and neurons in the inner plexiform layer.,
CL_0000753,type 1 cone bipolar cell (sensu Mus),An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The cell body of these cells is in the middle of the inner plexiform layer. The dendritic tree is stout and the axon terminates in sublamina 1. The axonal terminal is wide and has only a few varicosities.,
CL_0000754,type 2 cone bipolar cell (sensu Mus),"An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The dendritic tree is not well filled and the dendrites are more delicate than in type 1 cells. The axon terminal is bushier and exhibits a dense plexus of varicosities in the inner part of sublamina 1 (Ghosh et al., 2004).  It can be differentiated from other retinal bipolar neurons by its expression of marker genes: Neto1, Lhx3 and Irx-6 (Shekhar, 2016).",
CL_0000755,type 3 cone bipolar cell (sensu Mus),An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The dendritic tree is delicate and the dendritic tips appear small when compared with type 1 cells. The axon terminal is stratified and restricted to sublamina 2 of the inner plexiform layer.,
CL_0000756,type 4 cone bipolar cell (sensu Mus),An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The cell has a diffuse axon terminal with varicosities in sublaminae 1 and 2 of the inner plexiform layer.,
CL_0000757,type 5 cone bipolar cell (sensu Mus),An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The axon terminal is restricted to sublamina 3 of the inner plexiform layer. It is narrowly stratified and branched. The dendritic tree has many delicate branches.,
CL_0000758,type 6 cone bipolar cell (sensu Mus),"An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The cell has a loose, delicate axon terminal that opens in sublamina 3 of the inner plexiform layer and descends into sublamina 4.",
CL_0000759,type 7 cone bipolar cell (sensu Mus),An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The axon terminal is narrowly stratified and are found just below a calretinin-expressing band in sublamina 4 of the inner plexiform layer.,
CL_0000760,type 8 cone bipolar cell (sensu Mus),An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. This cell has the widest dendritic field and the widest axon terminal of all retinal bipolar cells. The axon terminal is delicate and stratified through sublaminae 4 and 5 of the inner plexiform layer.,
CL_0000761,type 9 cone bipolar cell (sensu Mus),An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The dendritic tree is wide and the dendritic convergence indicates cone selectivity. The axon terminal is sparsely branched and terminates in sublamina 5 of the inner plexiform layer.,
CL_0000762,nucleated thrombocyte,"A nucleated blood cell involved in coagulation, typically seen in birds and other non-mammalian vertebrates.",
CL_0000768,immature basophil,"Any of the immature forms of a basophil, in which basophilic specific granules are present but other phenotypic features of the mature form may be lacking.",
CL_0000770,band form basophil,"A late basophilic metamyelocyte in which the nucleus is in the form of a curved or coiled band, not having acquired the typical multilobar shape of the mature basophil.",
CL_0000772,immature eosinophil,"Any of the immature forms of an eosinophil, in which eosinophilic specific granules are present but other phenotypic features of the mature form may be lacking.",
CL_0000777,mesangial phagocyte,"A tissue-resident macrophage of the renal glomerular mesangium involved in the disposal and degradation of filtration residues, presentation of antigen to T cells and in tissue remodeling.",
CL_0000780,multinuclear odontoclast,A specialized multinuclear osteoclast associated with the absorption and removal of cementum.,
CL_0000781,mononuclear odontoclast,A specialized mononuclear osteoclast associated with the absorption and removal of cementum.,
CL_0000783,multinucleated phagocyte,A phagocyte formed by the fusion of mononuclear phagocytes.,
CL_0000790,immature alpha-beta T cell,An alpha-beta T cell that has an immature phenotype and has not completed T cell selection.,
CL_0000791,mature alpha-beta T cell,A alpha-beta T cell that has a mature phenotype.,
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","A CD4-positive, CD25-positive, alpha-beta T cell that regulates overall immune responses as well as the responses of other T cell subsets through direct cell-cell contact and cytokine release.",
CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell","A CD4-positive, alpha-beta T cell that is found in the columnar epithelium of the gastrointestinal tract.",
CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell","A CD8-positive, alpha-beta T cell that is capable of killing target cells in an antigen specific manner with the phenotype perforin-positive and granzyme B-positive.",CALOHA:TS-0190|FMA:70573
CL_0000795,"CD8-positive, alpha-beta regulatory T cell","A CD8-positive, alpha-beta T cell that regulates overall immune responses as well as the responses of other T cell subsets through direct cell-cell contact and cytokine release.",
CL_0000796,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",A alpha-beta intraepithelial T cell found in the columnar epithelium of the gastrointestinal tract. Intraepithelial T cells often have distinct developmental pathways and activation requirements.,
CL_0000797,alpha-beta intraepithelial T cell,A mature alpha-beta T cell of the columnar epithelium of the gastrointestinal tract. Intraepithelial T cells often have distinct developmental pathways and activation requirements.,
CL_0000799,immature gamma-delta T cell,A gamma-delta T cell that has an immature phenotype.,
CL_0000800,mature gamma-delta T cell,A gamma-delta T cell that has a mature phenotype. These cells can be found in tissues and circulation where they express unique TCR repertoire depending on their location.,
CL_0000801,gamma-delta intraepithelial T cell,A mature gamma-delta T cell that is found in the columnar epithelium of the gastrointestinal tract. These cells participate in mucosal immune responses.,
CL_0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",A gamma-delta intraepithelial T cell that has the phenotype CD8-alpha alpha-positive.,
CL_0000803,CD4-negative CD8-negative gamma-delta intraepithelial T cell,A gamma-delta intraepithelial T cell that has the phenotype CD4-negative and CD8-negative.,
CL_0000805,immature single positive thymocyte,"A thymocyte that has the phenotype CD4-negative, CD8-positive, CD44-negative, CD25-negative, and pre-TCR-positive.",
CL_0000806,DN2 thymocyte,"A thymocyte that has the phenotype CD4-negative, CD8-negative, CD44-positive, and CD25-positive.",
CL_0000807,DN3 thymocyte,"A thymocyte that has the phenotype CD4-negative, CD8-negative, CD44-negative, and CD25-positive and expressing the T cell receptor beta-chain in complex with the pre-T cell receptor alpha chain.",
CL_0000810,"CD4-positive, alpha-beta thymocyte",An immature alpha-beta T cell that is located in the thymus and is CD4-positive and CD8-negative.,
CL_0000811,"CD8-positive, alpha-beta thymocyte",An immature alpha-beta T cell that is located in the thymus and is CD8-positive and CD4-negative.,
CL_0000814,mature NK T cell,A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,
CL_0000816,immature B cell,"An immature B cell is a B cell that has the phenotype surface IgM-positive and surface IgD-negative, and have not undergone class immunoglobulin class switching or peripheral encounter with antigen and activation.",
CL_0000822,B-2 B cell,A conventional B cell subject to antigenic stimulation and dependent on T cell help and with a distinct surface marker expression pattern from B-1 B cells. These cells are CD43-negative.,
CL_0000823,immature natural killer cell,A natural killer cell that is developmentally immature and expresses natural killer cell receptors (NKR).,
CL_0000824,mature natural killer cell,A natural killer cell that is developmentally mature and expresses a variety of inhibitory and activating receptors that recognize MHC class I and other stress related molecules.,
CL_0000825,pro-NK cell,"A lymphoid progenitor cell that is committed to the natural killer cell lineage, expressing CD122 (IL-15) receptor, but lacking many of the phenotypic characteristics of later stages of natural killer cell development such as expression of NK activating and inhibitory molecules. In human this cell has the phenotype CD34-positive, CD45RA-positive, CD10-positive, CD117-negative, and CD161 negative.",
CL_0000827,pro-T cell,"A lymphoid progenitor cell of the T cell lineage, with some lineage specific marker expression, but not yet fully committed to the T cell lineage.",
CL_0000834,neutrophil progenitor cell,A progenitor cell of the neutrophil lineage.,
CL_0000837,hematopoietic multipotent progenitor cell,"A hematopoietic multipotent progenitor cell is multipotent, but not capable of long-term self-renewal. These cells are characterized as lacking lineage cell surface markers and being CD34-positive in both mice and humans.",BTO:0000725|CALOHA:TS-0448
CL_0000842,mononuclear cell,A leukocyte with a single non-segmented nucleus in the mature form.,BTO:0000878|CALOHA:TS-0768|FMA:86713
CL_0000848,microvillous olfactory receptor neuron,An olfactory receptor cell in which the apical ending of the dendrite is a knob that bears numerous microvilli.,
CL_0000849,crypt olfactory receptor neuron,An olfactory receptor cell with short cilia growing in an invagination bordered by microvilli.,
CL_0000854,interneuromast cell,Interneuromast cell is a neuroectodermal cell deposited by the migrating lateral line primordium between the neuromasts. Interneuromast cells proliferate and migrate to form additional neuromasts.,
CL_0000858,fast muscle myoblast,A skeletal muscle myoblast that differentiates into fast muscle fibers.,
CL_0000865,gastrointestinal tract (lamina propria) macrophage,A gut-associated lymphoid tissue macrophage found in lamina propria of the gut.,
CL_0000868,lymph node macrophage,A secondary lymphoid organ macrophage found in a lymph node. This cell is CD169-high.,
CL_0000869,tonsillar macrophage,A gut-associated lymphoid tissue macrophage found in tonsils.,
CL_0000873,splenic metallophillic macrophage,"A splenic macrophage found in the areas surrounding the white pulp of the spleen, adjacent to the marginal sinus. Markers include F4/80-negative, Dectin2-low, sialoadhesin-positive.",
CL_0000876,splenic white pulp macrophage,"A splenic macrophage found in the white pulp of the spleen. Markers include F4/80-negative, CD68-positive, and macrosialin-positive.",
CL_0000877,splenic tingible body macrophage,A splenic white pulp macrophage found in and around the germinal centers of the white pulp of the spleen that participates in phagocytosis of apoptotic B cells from the germinal centers. A marker for a cell of this type is Mertk-positive.,
CL_0000878,central nervous system macrophage,A tissue-resident macrophage found in the central nervous system.,
CL_0000880,choroid-plexus macrophage,A central nervous system macrophage found at the interface between the blood and the cerebrospinal fluid in the brain. This cell expresses scavenger receptors.,
CL_0000882,thymic medullary macrophage,A thymic macrophage found in the thymic medulla.,
CL_0000887,lymph node subcapsular sinus macrophage,"A lymph node macrophage found in the subcapsular sinus of lymph nodes that participates in sensing, clearance, and antigen presentation of lymph-borne particulate antigens. This macrophage is capable of activating invaraint NKT cells and is CD169-positive.",
CL_0000888,lymph node tingible body macrophage,"A lymph node macrophage found in the cortex of lymph nodes, in particular in and around the germinal centers, and that participates in phagocytosis of apoptotic B cells from the germinal centers.",
CL_0000894,DN1 thymic pro-T cell,"A pro-T cell that has the phenotype CD4-negative, CD8-negative, CD44-positive, and CD25-negative.",
CL_0000895,"naive thymus-derived CD4-positive, alpha-beta T cell","An antigen inexperienced CD4-positive, alpha-beta T cell with the phenotype CCR7-positive, CD127-positive and CD62L-positive. This cell type develops in the thymus. This cell type is also described as being CD25-negative, CD62L-high, and CD44-low.",
CL_0000896,"activated CD4-positive, alpha-beta T cell","A recently activated CD4-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",
CL_0000897,"CD4-positive, alpha-beta memory T cell","A CD4-positive, alpha-beta T cell that has differentiated into a memory T cell.",
CL_0000900,"naive thymus-derived CD8-positive, alpha-beta T cell","A CD8-positive, alpha-beta T cell that has not experienced activation via antigen contact and has the phenotype CD45RA-positive, CCR7-positive and CD127-positive. This cell type is also described as being CD25-negative, CD62L-high and CD44-low.",
CL_0000903,natural T-regulatory cell,"CD4-positive alpha-beta T cell with the phenotype FoxP3-positive, CD25-positive, CD62L-positive, and CTLA-4 positive with regulatory function.",
CL_0000904,"central memory CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",
CL_0000905,"effector memory CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",
CL_0000906,"activated CD8-positive, alpha-beta T cell","A CD8-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, CD25-positive, and CCR7-negative.",
CL_0000907,"central memory CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",
CL_0000908,"CD8-positive, alpha-beta cytokine secreting effector T cell","A CD8-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, and CD25-positive, that secretes cytokines.",
CL_0000909,"CD8-positive, alpha-beta memory T cell","A CD8-positive, alpha-beta T cell that has differentiated into a memory T cell.",
CL_0000913,"effector memory CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",
CL_0000915,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",An alpha-beta intraepithelial T cell with the phenotype CD8-alpha-alpha-positive located in the columnar epithelium of the gastrointestinal tract. These cells have a memory phenotype of CD2-negative and CD5-negative.,
CL_0000919,"CD8-positive, CD25-positive, alpha-beta regulatory T cell",A CD8-positive alpha beta-positive T cell with the phenotype FoxP3-positive and having suppressor function.,
CL_0000921,type I NK T cell,An alpha-beta T cell expressing NK cell markers that is CD1d restricted and expresses specific V-alpha chains. NK T cells of this type recognize the glycolipid alpha-galactosylceramide in the context of CD1d.,
CL_0000922,type II NK T cell,An alpha-beta T cell expressing NK call markers that is CD1d restricted and expresses a diverse TCR repertoire. Type II NKT cells do not become activated by alpha-galactosylceramide when presented by CD1d.,
CL_0000923,CD4-positive type I NK T cell,A type I NK T cell that has the phenotype CD4-positive.,
CL_0000924,"CD4-negative, CD8-negative type I NK T cell",A type I NK T cell that has the phenotype CD4-negative and CD8-negative.,
CL_0000925,activated CD4-positive type I NK T cell,"A type I NK T cell that has been recently activated, secretes interferon-gamma and IL-4, and has the phenotype CD4-positive, CD69-positive, and downregulated NK markers.",
CL_0000926,CD4-positive type I NK T cell secreting interferon-gamma,A mature NK T cell that secretes interferon-gamma and enhances type 1 immune responses.,
CL_0000927,CD4-positive type I NK T cell secreting interleukin-4,A mature NK T cell that predominantly secretes type 2 cytokines such as interleukin-4 and interleukin-13 and enhances type 2 immune responses.,
CL_0000929,"CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma",A mature NK T cell that secretes interferon-gamma and enhances Th1 immune responses.,
CL_0000930,"CD4-negative, CD8-negative type I NK T cell secreting interleukin-4",A mature NK T cell that secretes interleukin-4 and enhances Th2 immune responses.,
CL_0000931,activated type II NK T cell,"A type II NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",
CL_0000932,type II NK T cell secreting interferon-gamma,"A type II NK T cell that has been recently activated, secretes interferon-gamma, and has the phenotype CD69-positive and downregulated NK markers.",
CL_0000933,type II NK T cell secreting interleukin-4,"A type II NK T cell that has been recently activated, secretes interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",
CL_0000934,"CD4-positive, alpha-beta cytotoxic T cell","A CD4-positive, alpha-beta T cell that has cytotoxic function.",
CL_0000935,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell","A CD4-negative, CD8-negative, alpha-beta intraepithelial T cell that is found in the columnar epithelium of the gastrointestinal tract.",
CL_0000939,"CD16-positive, CD56-dim natural killer cell, human","A mature natural killer cell that has the phenotype CD56-low, CD16-positive and which is capable of cytotoxicity and cytokine production.",
CL_0000941,thymic conventional dendritic cell,"A dendritic cell arising in thymus that has the phenotype CD11c-positive, CD11b-negative, and CD45RA-negative.",
CL_0000942,thymic plasmacytoid dendritic cell,"A plasmacytoid dendritic cell developing in the thymus with phenotype CD11c-negative or low, CD45RA-positive, CD11b-negative, and CD123-positive.",
CL_0000943,Be1 Cell,"A Be cell that facilitates development of T-helper 1 (Th1) phenotype in CD4-positive T cells, and secretes high levels of interleukin-2, tumor necrosis factor-alpha and interferon-gamma.",
CL_0000944,Be2 cell,"A Be cell that facilitates development of T-helper 2 (Th2) phenotype T cells, and secretes high levels of interleukin-2, interleukin-10, interleukin-4, and interleukin-6.",
CL_0000945,lymphocyte of B lineage,A lymphocyte of B lineage with the commitment to express an immunoglobulin complex.,
CL_0000947,IgE plasma cell,A long lived plasma cell that secretes IgE.,
CL_0000948,IgE memory B cell,A class switched memory B cell that expresses IgE on the cell surface.,
CL_0000949,IgD plasmablast,"A plasmablast that secretes IgD, and which occur in a small proportion of B cells in the adult.",
CL_0000950,IgE plasmablast,A plasmablast that secretes IgE.,
CL_0000952,preBCR-positive large pre-B-II cell,"An preBRC-positive large pre-B-II cell is a large pre-B-II cell that is pre-B cell receptor-positive, composed of surrogate light chain protein (SL), which is composed of VpreB , Lambda 5/14.1, in complex with immunoglobulin mu heavy chain (IgHmu) on the cell surface.",
CL_0000953,preBCR-negative large pre-B-II cell,"A pre-BCR-negative large pre-B-II cell is a large pre-B-II cell that is pre-B cell receptor-negative, composed of surrogate light chain protein (SL), which is composed of VpreB and Lambda 5/14.1, in complex with immunoglobulin mu heavy chain (IgHmu), on the cell surface, and lack a DNA rearrangement of immunoglobulin light chain genes.",
CL_0000956,pre-B-I cell,"A pre-B-I cell is a precursor B cell that expresses CD34 and surrogate immunoglobulin light chain (VpreB , Lambda 5 (mouse)/14.1 (human)) on the cell surface, and TdT, Rag1,and Rag2 intracellularly. Cell type carries a D-JH DNA rearrangement, and lacks expression of immunglobulin heavy chain protein.",
CL_0000957,large pre-B-II cell,A large pre-B-II cell is a pre-B-II cell that is proliferating and is Rag1-negative and Rag2-negative.,
CL_0000958,T1 B cell,"A transitional stage B cell that migrates from the bone marrow into the peripheral circulation, and finally to the spleen. This cell type has the phenotype surface IgM-positive, surface IgD-negative, CD21-negative, CD23-negative, and CD62L-negative, and CD93-positive. This cell type has also been described as IgM-high, CD19-positive, B220-positive, AA4-positive, and CD23-negative.",
CL_0000959,T2 B cell,"A transitional stage B cell that has the phenotype surface IgM-positive, surface IgD-postive, CD21-positive, CD23-positive, CD62L-negative, CD93-positive and is located in the splenic B follicles. This cell type has also been described as IgM-high, CD19-positive, B220-positive, AA4-positive, and CD23-positive.",
CL_0000960,T3 B cell,"A transitional stage B cell that expresses surface IgM and IgD, and CD62L. This cell type appears to be an anergic B cell that does not proliferate upon BCR signaling, is found in the spleen and lymph nodes, and has the phenotype surface IgM-positive, surface IgD-positive, CD21-positive, CD23-positive, CD62L-positive, and CD93-positive. This cell type has also been described as IgM-low, CD19-positive, B220-positive, AA4-positive, and CD23-positive (i.e. this cell-type is distinguished from T2 cells by surface expression of IgM).",
CL_0000961,Bm1 B cell,"A follicular B cell that is IgD-positive, CD23-negative, and CD38-negative. This naive cell type is activated in the extrafollicular areas through interaction with interdigitating dendritic cells and antigen-specific CD4-positive T cells.",
CL_0000962,Bm2 B cell,A follicular B cell that is IgD-positive and CD23-positive and CD38-positive. This naive cell type is activated in the extrafollicular areas via interaction with dendritic cells and antigen specific T cells.,
CL_0000963,Bm3-delta B cell,"A germinal center B cell that develops from a Bm3 B cell. This cell has the phenotype IgM-negative, IgD-positive, and CD38-positive.",
CL_0000964,Bm2' B cell,"A germinal center B cell that founds a germinal center, and has the phenotype IgD-positive, CD38-positive, and CD23-negative.",
CL_0000965,Bm3 B cell,"A germinal center B cell that is rapidly dividing and has the phenotype IgD-negative, CD38-positive, and CD77-positive. Somatic hypermutation of the immunoglobulin V gene region can occur during proliferation of this cell type.",
CL_0000966,Bm4 B cell,"A germinal center B cell that has the phenotype CD77-negative, IgD-negative, and CD38-positive. These cells have undergone somatic mutation of the B cell receptor.",
CL_0000967,Bm5 B cell,A memory B cell arising in the germinal center that is IgD-negative and has undergone somatic mutation of the variable region of the immunoglobulin heavy and light chain genes.,
CL_0000968,Be cell,A mature B cell that produces cytokines that can influence CD4 T cell differentiation.,
